"asc_1","asc_2","asc_3","b_attr1","b_attr2","b_attr3","b_attr4","phi1","phi2","error_sd","timesteps","logLike"
-0.0241326393348719,-0.0900391735567757,0,-2.13535988747188,-0.381441526779631,-1.10687397690048,5.60816529928936,3.25576089325297,-0.622228711479973,2.53882281114957,10,-275.657765509699
-0.0226922138624415,-0.0879596280847998,0,-2.13480696418111,-0.384330833069527,-1.10288222636599,5.60935200560491,3.25576270946323,-0.620581807628643,2.53882281114957,10,-275.657458284716
-0.0205051166916487,-0.0890368458575444,0,-2.13321216504178,-0.382841317529574,-1.09977556320329,5.61102055585702,3.25630628148039,-0.620128856918378,2.53882281114957,10,-275.657097461856
-0.020278749372093,-0.0897450730197938,0,-2.13173805239117,-0.382997596458927,-1.09964344181746,5.61042854665625,3.25750091777783,-0.612197724332141,2.53882281114957,10,-275.656824967584
-0.0189083098598551,-0.108172045567235,0,-2.10251280259415,-0.382466039606471,-1.08212865883311,5.56335669927715,3.31444067508479,-0.601244543252007,2.53882281114957,10,-275.656679711565
-0.0187040159343459,-0.108905973537931,0,-2.10015912702945,-0.382256765561029,-1.08068069168494,5.55926784607216,3.31960555446081,-0.600248524842213,2.53882281114957,10,-275.656674943514
-0.0103904883640257,-0.0926323383491512,0,-2.05324403196982,-0.396108717735812,-1.06912370220731,5.53641905602816,3.3242394834707,-0.600521503851009,2.53882281114957,10,-275.652659892366
-0.0197617835432471,-0.0873080378816193,0,-2.03843577925037,-0.399013466746142,-1.06873033472733,5.5339812672797,3.32761968951822,-0.600955448634713,2.53882281114957,10,-275.650219802242
-0.0201427763157064,-0.0870689916565432,0,-2.03775675910268,-0.399239107890125,-1.06857122646129,5.53399142816171,3.32784803582246,-0.600976924222974,2.53882281114957,10,-275.650204732198
-0.0102691173493452,-0.0800593031245923,0,-1.95243434574349,-0.407890530849328,-1.12209916158807,5.57031404982125,3.38117471250031,-0.613502980057126,2.53882281114957,10,-275.648394076413
-0.0145907035081954,-0.0852596190129302,0,-1.95321782566678,-0.409438365386363,-1.12125866862247,5.57083762218184,3.3838334930388,-0.620164654667565,2.53882281114957,10,-275.643760152062
-0.0149376695523578,-0.0858336521418718,0,-1.95354289326131,-0.4094260938472,-1.12078377087077,5.57108944744044,3.38351514788341,-0.622803369463032,2.53882281114957,10,-275.643670641411
-0.0164938371905505,-0.0888101517492914,0,-1.95392021614979,-0.409469017526326,-1.12137549083058,5.57151246635323,3.37864925977442,-0.623782676869314,2.53882281114957,10,-275.643407060406
-0.0164939582221764,-0.088810565453984,0,-1.95392000959947,-0.409468723075597,-1.12137542910717,5.57151284406536,3.37864740091248,-0.623782279083689,2.53882281114957,10,-275.643406485062
